id,tested_positive
0,8.537853
1,9.188871
2,5.0849085
3,8.889993
4,16.952562
5,14.094032
6,10.62728
7,14.285173
8,13.223288
9,10.753208
10,7.0419116
11,10.003307
12,9.7041645
13,16.78492
14,12.320381
15,6.6552777
16,9.756186
17,5.5309443
18,8.1906185
19,9.566059
20,19.690207
21,5.9149957
22,9.511388
23,10.398898
24,13.70792
25,18.82794
26,22.573908
27,8.930892
28,6.7222133
29,15.312906
30,13.939562
31,3.738685
32,12.029932
33,9.103197
34,9.039673
35,6.3733964
36,13.772245
37,16.748703
38,9.6874695
39,13.965088
40,14.590748
41,24.939085
42,5.761258
43,11.154623
44,24.79457
45,22.490587
46,17.6497
47,5.4982057
48,10.894578
49,5.550281
50,4.423454
51,7.801866
52,14.3669
53,16.624548
54,17.260038
55,19.08581
56,17.015701
57,10.65547
58,25.463549
59,8.596285
60,18.082138
61,19.436903
62,11.776548
63,17.206465
64,20.216976
65,13.001733
66,10.141467
67,6.3309407
68,7.247804
69,15.892477
70,21.808897
71,19.250212
72,5.9078364
73,11.466742
74,18.13622
75,14.657246
76,16.738253
77,12.828047
78,10.41344
79,15.897629
80,23.346983
81,5.9818316
82,23.000822
83,16.841492
84,23.438362
85,9.138542
86,9.826485
87,16.585724
88,26.424847
89,5.490532
90,15.435191
91,15.427162
92,18.855791
93,20.625187
94,21.426859
95,10.564791
96,31.89165
97,8.362712
98,20.765211
99,18.52064
100,18.54482
101,17.921394
102,8.6283455
103,16.742924
104,18.839907
105,12.467634
106,17.89424
107,18.868715
108,6.795774
109,21.044191
110,23.630438
111,18.838854
112,22.301424
113,21.851595
114,11.771454
115,6.6736827
116,20.038519
117,11.255482
118,22.719511
119,16.579025
120,21.201107
121,7.438171
122,11.818655
123,12.109802
124,18.990475
125,9.039981
126,12.328785
127,14.96795
128,15.859564
129,9.628524
130,15.802172
131,6.2867637
132,8.656602
133,5.9559245
134,12.519169
135,18.958376
136,17.518766
137,20.867682
138,5.6595244
139,12.944911
140,11.448476
141,9.208979
142,10.984028
143,9.668995
144,23.926296
145,9.2199135
146,11.424205
147,16.665903
148,23.622038
149,15.721085
150,11.688018
151,17.355375
152,10.740055
153,9.193712
154,21.092016
155,14.017677
156,13.675394
157,26.812843
158,21.466387
159,17.354685
160,12.629623
161,16.41506
162,10.118056
163,19.17119
164,9.328423
165,21.859373
166,11.318188
167,15.880152
168,10.627043
169,6.0701675
170,13.026684
171,13.871168
172,11.662046
173,13.361577
174,23.259405
175,5.517436
176,5.776445
177,22.065458
178,13.606532
179,12.175071
180,19.416338
181,17.886847
182,8.834957
183,10.955566
184,12.025062
185,11.99599
186,13.800897
187,21.317389
188,7.1332784
189,9.879381
190,6.566692
191,5.403338
192,19.911823
193,9.585074
194,9.506716
195,18.556894
196,19.076971
197,16.079897
198,6.559894
199,20.711065
200,6.5862193
201,12.94842
202,21.583254
203,19.543118
204,18.841
205,8.784918
206,9.773264
207,7.699245
208,11.265775
209,19.524485
210,10.035392
211,13.973759
212,19.238394
213,5.3775063
214,15.9843235
215,17.084566
216,16.482054
217,11.015596
218,20.155844
219,8.843588
220,6.727385
221,9.945868
222,13.833075
223,20.925425
224,15.963446
225,9.192268
226,5.1210146
227,13.981997
228,15.616663
229,12.018727
230,14.573473
231,5.948793
232,11.367811
233,19.179707
234,14.503847
235,6.7621417
236,10.251682
237,17.94668
238,10.322487
239,15.564672
240,19.545284
241,14.0616455
242,23.585371
243,16.082605
244,9.133272
245,6.2948394
246,18.68654
247,9.868768
248,21.146042
249,18.032864
250,18.293547
251,13.9598255
252,16.63405
253,17.882877
254,14.199961
255,10.735579
256,20.510569
257,12.385965
258,13.751524
259,16.448149
260,15.8062
261,22.07845
262,11.486469
263,10.606881
264,15.606689
265,13.389116
266,15.323063
267,8.473226
268,11.358904
269,17.763348
270,11.261933
271,12.334816
272,17.596453
273,9.504829
274,16.20346
275,5.754424
276,16.270252
277,8.504421
278,15.363985
279,8.893678
280,17.551348
281,12.134074
282,12.851065
283,13.193817
284,6.887837
285,15.370504
286,6.8726034
287,17.907564
288,10.443373
289,14.181701
290,16.969015
291,10.441656
292,16.223005
293,14.771458
294,15.604166
295,16.43292
296,17.362875
297,12.807058
298,9.235864
299,11.613567
300,17.640326
301,14.866528
302,18.978025
303,16.021444
304,15.539642
305,18.1999
306,17.072742
307,14.947388
308,14.075764
309,17.776997
310,18.4266
311,18.384346
312,15.731873
313,11.824919
314,13.562391
315,9.598759
316,11.622817
317,20.310577
318,14.058918
319,17.03187
320,18.491352
321,8.297024
322,14.709488
323,10.969286
324,9.289499
325,17.560469
326,6.3372335
327,19.028858
328,8.653828
329,12.4237995
330,15.301199
331,15.483333
332,12.442523
333,15.090404
334,12.454319
335,10.832142
336,11.355116
337,15.69068
338,10.544487
339,6.596283
340,16.029528
341,15.0661
342,15.760469
343,13.279882
344,6.090609
345,18.040548
346,11.987141
347,17.536844
348,20.797617
349,7.3543115
350,12.746687
351,11.547449
352,13.4135275
353,6.0608974
354,13.562467
355,16.838814
356,11.608433
357,17.156563
358,7.679258
359,4.660285
360,11.004916
361,11.767113
362,14.920593
363,14.203244
364,11.551761
365,14.581936
366,9.711317
367,17.844374
368,5.4680734
369,12.6618
370,20.627537
371,10.952648
372,13.907612
373,18.600622
374,15.719954
375,16.75559
376,11.141254
377,16.631655
378,15.408246
379,4.8352056
380,24.720541
381,6.942072
382,16.352728
383,13.652221
384,15.400419
