ID,Answer
0,紅色羽毛，但士官長的頭盔則是白色羽毛
1,《諸羅縣志
2,袁晁率起義軍
3,柏林陸軍學院
4,長盤勝負
5,孫銘武
6,1874年，日本因琉球人誤闖排灣領土事件，出兵恆春半島，即「牡丹社事件」。這對清廷以往消極的臺灣經營成為一種警訊。清廷在日軍出兵臺灣後的1874年
7,向西擴張
8,英國
9,郵票的發展，出現了所謂的郵票語言
10,周星馳
11,秀吉
12,高架車站
13,anticipation
14,2007年
15,碳酸鹽
16,華萊士
17,外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,霜
23,塞爾維亞反對黨
24,1861年
25,
26,拉丁文[UNK]
27,猶太基督徒
28,1964年
29,傑羅姆·威斯納
30,文化大革命
31,《金驢記》
32,灣仔
33,振州
34,
35,1964年
36,新北市
37,白色被稱為「小白宮
38,遊行示威集會權利雖不能說有保障，但還在合法狀態下。1989年六四天安門事件後，全國人大常委會在10月31日緊急立法，出台一部憲法類法律[UNK]《中華人民共和國集會遊行示威法》
39,史天澤
40,宋端宗
41,四千名
42,46億年
43,1070年
44,《國民養老保險法》
45,中國建設銀行
46,1930年
47,東德喜劇
48,1932年的選舉使民主黨在兩院以及各州州長都取得了多數，1934年
49,
50,康熙帝
51,商務印書館
52,1960年代
53,刺殺
54,紐約市
55,基督教
56,預覽阿爾法
57,南京
58,新北市教育主管機管
59,賓拉登死亡之事
60,舞會、狩獵
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,
66,李宗仁
67,南唐
68,噴射發動機
69,二十二歲
70,亞洲
71,1984年
72,社會主義陣營
73,氦
74,聖方濟·沙勿略是西班牙籍天主教傳教士，也是耶穌會創始人之一，首先將天主教信仰傳播到亞洲的麻六甲和日本
75,都市高速公路、城際高速公路、其他的快速道路
76,高麗大學校主樓
77,侯寶林
78,羽柴秀吉
79,俾斯麥
80,葉爾欽
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,十二平均律
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,以色列
93,大躍進運動
94,國立武昌高等師範學校
95,蘇利南
96,
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1600年
103,有絲分裂
104,英國
105,芝諾比亞
106,仁祖
107,貝加爾
108,佛學論書
109,北海道帝國大學農學部的實驗林，當時的總督府農林學院
110,歐登堡
111,第四次
112,1944年
113,安娜·德·薩伏伊皇后
114,巴夏禮
115,哈林河
116,孟加拉
117,柴可夫斯基獎
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,
122,德國
123,陳寅恪認為，五胡之名，起自於五德終始說
124,刺殺
125,未標準化，使得喃字在推行上困難重重
126,四百公尺
127,1948年
128,施里芬計劃
129,福建林家
130,用來運貨
131,經濟蕭條
132,西人黨
133,2005年
134,臺北
135,斐迪南·麥哲倫
136,杭縣
137,蘇聯國旗
138,希臘
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,喬治麥高文
146,水鐘
147,《布告各省公啟》
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,就業保障制度
154,清光緒十七年
155,雕像
156,代行」總統職權，李於1月21日正式接任中華民國代總統。中華民國政府因國共內戰戰況失利
157,
158,乙醚
159,藥葛羅
160,卡爾梅克人
161,1969年初，劉少奇患重病，由中南海特派的搶救組予以搶救。1969年10月17日
162,63位
163,卡利克斯特三世
164,古希臘
165,盧安達語
166,建成的陸地命名為「九龍灣」，現在主要為住宅、工商業用地
167,蔣中正
168,農業資源稟賦非常稀缺，現有耕地面積1835.6千公頃
169,網景通訊公司
170,
171,1999年
172,《天淨沙》
173,七十年代
174,北魏正光元年
175,趙佗創立南越國
176,土地測量
177,岑智明
178,
179,公元前362年
180,
181,28歲
182,2000年10月
183,保加利亞、塞爾維亞、希臘與蒙特尼哥羅組成巴爾幹同盟，聯合攻打鄂圖曼土耳其帝國
184,三大優點
185,10度
186,社會黨
187,布里奧尼島
188,波士頓
189,1992年
190,下旋球
191,後箱館裁判所，便將北海道納入新政府統治
192,明朝
193,1863年
194,2000年
195,2012年
196,道縣玉蟾岩
197,赫爾戈蘭灣
198,森林
199,阿森納女子足球俱樂部
200,一黨制或者一黨優勢制
201,酒樓
202,1920年
203,1美元
204,多倫多
205,軌道上驅動列車
206,彌爾
207,中央情報局
208,艾瑪·史東
209,數位訊號
210,百濟
211,拉迪奇
212,威尼斯影展
213,海洋氣流影響，加上地理位置上正處在冬季於中國活躍的兩般高壓區之間的真空帶
214,新北市
215,聯盟
216,海上疆界
217,克孜勒
218,三分天災，七分人禍
219,
220,美觀
221,南屯區
222,西部地區
223,1982年
224,1449年
225,花剌子模，可汗是對總督的敬稱
226,
227,孫中山
228,發明家
229,2006年
230,爆炸地點
231,《人體器官移植條例》
232,1262年
233,澎湖
234,三倍
235,0.4太陽質量
236,颱風
237,2014年
238,1968年
239,世界第六
240,
241,鋁土礦
242,城市美化運動
243,阿美族
244,黑死病
245,2007年
246,赫爾伯特·查普曼
247,同性戀
248,2001年
249,張伯倫
250,溥[UNK]
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,天橋
259,布倫瑞克造型藝術學院
260,法蘭西第二帝國
261,商業及人均[UNK]都不如東南亞的大城市，所以此時南洋的福建人平均的投資在上海
262,全勝紀錄
263,利用小型雷達測距儀
264,哥白尼日心說
265,濃度低時帶惡臭，氣味如臭蛋；濃度高時反而沒有氣味，因為高濃度的硫化氫可以麻痺嗅覺神經
266,袁世凱
267,明朝
268,1848年
269,1954年
270,1998年
271,韓國的政壇
272,《南華早報》
273,臭蛋
274,佛像
275,阿聯
276,交通基建
277,
278,母田川氏
279,天狼星在東方地平線
280,鳥類
281,1985年間
282,德語地區
283,女神大橋
284,1237年
285,商業和手工業
286,晉恭帝
287,荷蘭
288,美國律師協會
289,1654年
290,清代
291,美川王
