ID,Answer
0,白色羽毛
1,[CLS]
2,袁晁
3,天津武備學堂
4,一局特殊的決勝局
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,英國
9,起到醜化對手的作用
10,周星馳
11,三中老
12,無障礙環境
13,anticipation
14,2004年
15,二氧化硫
16,華萊士
17,[CLS]為何壓力梯度會由電漿體的溫差來建立？[SEP]
18,[CLS]
19,[CLS]卡門線多高?[SEP]度
20,愛爾蘭語
21,荷蘭
22,硫磺
23,[CLS]
24,1910年代
25,外交活動
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,文化大革命爆發
31,《金驢記》
32,灣仔
33,東南
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,明治神宮內外苑
38,沒有任何示威申請得到當局通過
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,社會保障法規
45,
46,1929年
47,航天技術
48,1932年
49,[CLS]
50,康熙帝
51,自強學堂
52,1960年代
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,完全擺脫漢朝的控制
66,蔣中正
67,東漢
68,噴射發動機
69,弘治十二年
70,亞洲
71,1996年
72,社會主[SEP][PAD][PAD]
73,氦
74,[CLS]
75,建設部門
76,[CLS]在韓國朴東鎮與設計什麼建築的人都活耀於30年代初？[SEP]林匹克體育場
77,張三祿
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,「靈魂」
83,科龍港
84,蓋爾人
85,科學知識及技術的發現及發明
86,[CLS]
87,隋滅南陳
88,佛教
89,[CLS]
90,豐臣秀吉
91,三吳地區
92,以色列
93,大躍進運動
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1000年
103,有絲分裂
104,美國
105,芝諾比亞
106,仁祖
107,十個
108,佛學論書
109,臺中高農
110,希爾德斯海姆
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,男中音
118,中山
119,60
120,威廉·洛厄爾·普特南
121,全國人民代表大會或其常務委員會
122,德國
123,陳寅恪
124,刺殺
125,未標準化
126,二千九百公尺
127,[CLS]
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,見[SEP][PAD]
130,用來運貨
131,公民權
132,西人黨
133,2013年
134,[CLS]
135,查莫洛人
136,杭縣
137,蘇聯
138,兩波攻勢之下佔領島上38%
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,湄公河三角洲
143,1988年
144,上吊方式自殺
145,喬治麥高文
146,沈括
147,《布告各省公啟》
148,阿拉里克
149,[CLS]
150,髒層
151,工業國家
152,1949年
153,《最終解決德國問題條約》
154,清光緒十七年
155,雕像」
156,防止中國共產黨滲透
157,65000平方公里
158,乙醚
159,唐玄宗
160,卡爾梅克人
161,1969年
162,63位
163,天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,盧安達語
166,政府填海造地
167,蔣中正
168,農民
169,ecmascript
170,9月2日
171,1999年
172,[CLS]
173,七十年代
174,公元68年
175,趙佗
176,莎草紙
177,[PAD][PAD][PAD]
178,是普魯士為了統一德國，並與法國爭奪歐洲大陸霸權而爆發的戰爭。戰爭是由法國發動，最後以普魯士大獲全勝，建立德意志帝國告終
179,公元前362年
180,創建強力政府，建立社會保障，整理整個社會，重建國家榮譽
181,28歲
182,1950年
183,保加利亞
184,[CLS]電燈泡所應用的焦耳加熱效應，也可以用來電力取暖，但電力取暖有什麼缺點?[SEP]源。安裝在住家和辦公室內，冷氣機的使用帶給人們很大的舒適。但是，冷氣的耗電量也很大
185,10度
186,社會黨
187,西歐
188,波士頓
189,1992年
190,大陸式可[SEP][PAD]
191,[CLS]
192,明朝
193,猶太教堂
194,2000年
195,1998年
196,道縣玉蟾岩
197,[CLS]
198,植被茂密的丘陵
199,阿森納女子足球俱樂部
200,社會主義市場經濟
201,較有消費能力的居民
202,1920年
203,美元
204,多倫多
205,在列車前面拉動
206,彌爾
207,中央情報局
208,珍妮·蓋諾
209,在時域上數學形式為連續函式的訊號
210,開始顯現本土特色
211,亞歷山大一世
212,威尼斯影展
213,清涼
214,新北市
215,聯盟合作
216,甲午戰爭
217,克孜勒
218,七千人大會
219,好在歷史是人民寫的
220,美觀
221,臺中市精密機械科技創新園區
222,西部地區
223,1982年
224,[CLS]明宣宗皇帝親率的三千騎兵和兀良哈三衛的蒙古兵在哪一年的時候在大寧城大戰?[SEP]
225,部落最高領袖
226,塔特拉山
227,國立廣東大學
228,美國發明家
229,2006年
230,沒有
231,[CLS]哪一條法律規定人體器官不得買賣?[SEP]有報導宣稱中國大陸政府有計劃的在刑場和火葬場摘取死囚的皮膚、眼角膜和腎臟派遣各大醫院使用，並關注與批評，但中國政府否認。在2006年後期，中國官員承認中國器官移植手術所使用的人體器官大部分來源於被判處死刑犯人的自願捐助，但強調不存在強迫或者盜取死刑犯器官的問題。一般的意見認為，中國的死囚器官捐獻出售是灰色[SEP]
232,1262年
233,增加米、糖等農作物產量
234,三倍
235,耗盡了核心的氫燃料
236,颱風
237,2016年
238,1973年
239,[PAD]
240,「第一所美式大學
241,鋁土礦
242,二十世紀
243,布農族
244,黑死病
245,[CLS]
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中
248,2009年
249,湖人
250,經元善
251,副主席
252,決勝局必定是單數局。
253,廣東省政府委員會
254,韓國遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,高架車站
259,下薩克森邦
260,法蘭西第二帝國
261,不如東南亞的大城市，所以此時南洋的福建
262,全勝
263,夜間攔截任務
264,哥白尼日心說
265,濃度低時
266,光緒年間
267,明朝
268,1848年
269,1954年
270,[CLS]
271,共同民主黨
272,《南華早報》
273,[CLS]
274,佛教[SEP][PAD]
275,阿聯
276,交通基建
277,步兵師
278,[CLS]
279,天狼星在東方地平線的出現
280,自律心肌細胞
281,1961年
282,德語地區
283,[SEP]
284,1237年
285,拜占庭帝國
286,晉恭帝
287,德國
288,[CLS]
289,[CLS]decorpore於何年出版?[SEP]年
290,唐代
291,美川王
292,胡安·林茲
293,日本
294,1998年1月1日
295,第一星族
296,司馬休之
297,[PAD]
298,383年
299,羅納爾迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,拉丁字母
304,提升飛機的飛行安全
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,齋藤季治郎
312,1958年
313,《馬德里議定書
314,446種
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,金本位制度
319,邊沁
320,紅色
321,1928年
322,商品期貨
323,十多個
324,[CLS]美國的公務郵票若供個人使用，可罰多少金額的罰款?[SEP]
325,楊宇霆
326,貴州省最大
327,元世祖
328,混合動力自行車
329,數學
330,[CLS]
331,經濟
332,[CLS]
333,朱一貴
334,[CLS]
335,失一分
336,銃炮
337,1961年
338,1980年代
339,凱·艾維
340,[UNK]人國；公元前28年，滅北沃沮
341,1980年
342,希伯來文
343,第四心音
344,2015年
345,武漢
346,1868年
347,托土拉島
348,中華民國
349,倫敦大學
350,1970年代中期
351,岡仁波齊峰
352,1973年
353,突厥
354,造[SEP][PAD]
355,南斯拉夫社會主義聯邦共和國
356,民主制度的恢復
357,硫化物
358,與丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,[CLS]耳蝸是甚麼形狀?[SEP]狀體
363,奧地利
364,[SEP]
365,韓國
366,牛肉島
367,1956年
368,史都華中校
369,1910年
370,突厥
371,中亞新興大國花剌子模在沙阿摩訶末時期崛起，該國訛答剌地方大臣海兒汗亦納勒術前後兩次屠殺蒙古商隊並侮辱蒙古使臣
372,1988年
373,2011年
374,通過非暴力方式反對環境破壞行為
375,巴爾的摩市
376,中華民國政府
377,社團部
378,[CLS]
379,電子郵件
380,孔子
381,上海楊浦區大連路
382,2005年
383,[CLS]
384,馬佛奧·巴貝日
385,60年代
386,雙循環泵功能
387,1809年
388,[CLS]
389,民國34年
